2006-01-01,5038569
2006-04-01,5121916
2006-07-01,5428603
2006-10-01,6017080
2007-01-01,6288275
2007-04-01,6852231
2007-07-01,7272284
2007-10-01,7262045
2008-01-01,6844546
2008-04-01,6669792
2008-07-01,5374215
2008-10-01,4320819
2009-01-01,4087167
2009-04-01,4984745
2009-07-01,5879511
2009-10-01,6058554
2010-01-01,6286609
2010-04-01,5840898
2010-07-01,6724001
2010-10-01,7160366
2011-01-01,7497835
2011-04-01,7644691
2011-07-01,6672316
2011-10-01,6871732
2012-01-01,7344418
2012-04-01,7045455
2012-07-01,7580663
2012-10-01,7931527
2013-01-01,8203589
2013-04-01,8118282
2013-07-01,8720092
2013-10-01,9130080
2014-01-01,9357199
2014-04-01,9984146
2014-07-01,9693576
2014-10-01,9627215
2015-01-01,10032142
2015-04-01,10137741
2015-07-01,9273681
2015-10-01,9439896
2016-01-01,9418001
2016-04-01,9512540
2016-07-01,9952714
2016-10-01,9882284
2017-01-01,10587995
2017-04-01,11197846
2017-07-01,11821708
2017-10-01,12413733
2018-01-01,12505047
2018-04-01,12213782
2018-07-01,12403918
2018-10-01,11322472
2019-01-01,12080953
2019-04-01,12430218
2019-07-01,12323222
2019-10-01,13124173
2020-01-01,10821177
2020-04-01,12182771
2020-07-01,12831200
2020-10-01,14399252
2021-01-01,15025918
2021-04-01,15913801
2021-07-01,16048447
2021-10-01,16313926
2022-01-01,15513944
2022-04-01,13821086
2022-07-01,12901096
2022-10-01,13850024.0
2023-01-01,14477555.0
2023-04-01,14708186.0
2023-07-01,14313374.0
2023-10-01,15030659.0
2024-01-01,15593335.0
2024-04-01,15665661.0
2024-07-01,16514299.0
2024-10-01,15748332.0
2025-01-01,16319410.0
2025-04-01,17623498.0
2025-07-01,18570946.0
2025-10-01,19208724.0
2026-01-01,19209742.0
